state1,state2,set
assertive,confident,1
assertive,grouchy,1
assertive,sad,1
assertive,assertive,1
assertive,unrestrained,1
confident,confident,1
confident,grouchy,1
confident,sad,1
confident,assertive,1
confident,unrestrained,1
grouchy,confident,1
grouchy,grouchy,1
grouchy,sad,1
grouchy,assertive,1
grouchy,unrestrained,1
sad,confident,1
sad,grouchy,1
sad,sad,1
sad,assertive,1
sad,unrestrained,1
unrestrained,confident,1
unrestrained,grouchy,1
unrestrained,sad,1
unrestrained,assertive,1
unrestrained,unrestrained,2
bold,nervous,2
bold,irritable,2
bold,lively,2
bold,bold,2
bold,talkative,2
irritable,nervous,2
irritable,irritable,2
irritable,lively,2
irritable,bold,2
irritable,talkative,2
lively,nervous,2
lively,irritable,2
lively,lively,2
lively,bold,2
lively,talkative,2
nervous,nervous,2
nervous,irritable,2
nervous,lively,2
nervous,bold,2
nervous,talkative,2
talkative,nervous,2
talkative,irritable,2
talkative,lively,2
talkative,bold,2
talkative,talkative,3
contempt,satisfaction,3
contempt,love,3
contempt,contempt,3
contempt,disgust,3
contempt,embarrassment,3
disgust,satisfaction,3
disgust,love,3
disgust,contempt,3
disgust,disgust,3
disgust,embarrassment,3
embarrassment,satisfaction,3
embarrassment,love,3
embarrassment,contempt,3
embarrassment,disgust,3
embarrassment,embarrassment,3
love,satisfaction,3
love,love,3
love,contempt,3
love,disgust,3
love,embarrassment,3
satisfaction,satisfaction,3
satisfaction,love,3
satisfaction,contempt,3
satisfaction,disgust,3
satisfaction,embarrassment,3
