state1,state2,set,statepair,to,value,from
assertive,confident,1,assertive_confident,0.0,0.81112355,0.0
assertive,grouchy,1,assertive_grouchy,1.0,0.39859894,0.0
assertive,sad,1,assertive_sad,2.0,0.2949232,0.0
assertive,assertive,1,assertive_assertive,,,
assertive,unrestrained,1,assertive_unrestrained,3.0,0.64494586,0.0
confident,confident,1,confident_confident,,,
confident,grouchy,1,confident_grouchy,0.0,0.29159144,1.0
confident,sad,1,confident_sad,1.0,0.3412482,1.0
confident,assertive,1,confident_assertive,2.0,0.8389194,1.0
confident,unrestrained,1,confident_unrestrained,3.0,0.7232704,1.0
grouchy,confident,1,grouchy_confident,0.0,0.26091608,2.0
grouchy,grouchy,1,grouchy_grouchy,,,
grouchy,sad,1,grouchy_sad,1.0,0.72622454,2.0
grouchy,assertive,1,grouchy_assertive,2.0,0.4942741,2.0
grouchy,unrestrained,1,grouchy_unrestrained,3.0,0.44358286,2.0
sad,confident,1,sad_confident,0.0,0.1711122,3.0
sad,grouchy,1,sad_grouchy,1.0,0.7342568,3.0
sad,sad,1,sad_sad,,,
sad,assertive,1,sad_assertive,2.0,0.21748047,3.0
sad,unrestrained,1,sad_unrestrained,3.0,0.33779708,3.0
unrestrained,confident,1,unrestrained_confident,0.0,0.7088615,4.0
unrestrained,grouchy,1,unrestrained_grouchy,1.0,0.38312006,4.0
unrestrained,sad,1,unrestrained_sad,2.0,0.40771642,4.0
unrestrained,assertive,1,unrestrained_assertive,3.0,0.683543,4.0
unrestrained,unrestrained,1,unrestrained_unrestrained,,,
bold,nervous,2,bold_nervous,0.0,0.4169417,5.0
bold,irritable,2,bold_irritable,1.0,0.37251443,5.0
bold,lively,2,bold_lively,2.0,0.7997399,5.0
bold,bold,2,bold_bold,,,
bold,talkative,2,bold_talkative,3.0,0.8370114,5.0
irritable,nervous,2,irritable_nervous,0.0,0.53699446,6.0
irritable,irritable,2,irritable_irritable,,,
irritable,lively,2,irritable_lively,1.0,0.2794141,6.0
irritable,bold,2,irritable_bold,2.0,0.41979006,6.0
irritable,talkative,2,irritable_talkative,3.0,0.2419415,6.0
lively,nervous,2,lively_nervous,0.0,0.4181346,7.0
lively,irritable,2,lively_irritable,1.0,0.34066284,7.0
lively,lively,2,lively_lively,,,
lively,bold,2,lively_bold,2.0,0.8078017,7.0
lively,talkative,2,lively_talkative,3.0,0.8493274,7.0
nervous,nervous,2,nervous_nervous,,,
nervous,irritable,2,nervous_irritable,0.0,0.7015492,8.0
nervous,lively,2,nervous_lively,1.0,0.34405127,8.0
nervous,bold,2,nervous_bold,2.0,0.25772256,8.0
nervous,talkative,2,nervous_talkative,3.0,0.5165861,8.0
talkative,nervous,2,talkative_nervous,0.0,0.45377627,9.0
talkative,irritable,2,talkative_irritable,1.0,0.36673695,9.0
talkative,lively,2,talkative_lively,2.0,0.8147007,9.0
talkative,bold,2,talkative_bold,3.0,0.76289284,9.0
talkative,talkative,2,talkative_talkative,,,
contempt,satisfaction,3,contempt_satisfaction,0.0,0.22803886,10.0
contempt,love,3,contempt_love,1.0,0.17585644,10.0
contempt,contempt,3,contempt_contempt,,,
contempt,disgust,3,contempt_disgust,2.0,0.75229645,10.0
contempt,embarrassment,3,contempt_embarrassment,3.0,0.4625831,10.0
disgust,satisfaction,3,disgust_satisfaction,0.0,0.19869734,11.0
disgust,love,3,disgust_love,1.0,0.1472384,11.0
disgust,contempt,3,disgust_contempt,2.0,0.728102,11.0
disgust,disgust,3,disgust_disgust,,,
disgust,embarrassment,3,disgust_embarrassment,3.0,0.5135492,11.0
embarrassment,satisfaction,3,embarrassment_satisfaction,0.0,0.19937,12.0
embarrassment,love,3,embarrassment_love,1.0,0.26517633,12.0
embarrassment,contempt,3,embarrassment_contempt,2.0,0.5965022,12.0
embarrassment,disgust,3,embarrassment_disgust,3.0,0.63222545,12.0
embarrassment,embarrassment,3,embarrassment_embarrassment,,,
love,satisfaction,3,love_satisfaction,0.0,0.82855004,13.0
love,love,3,love_love,,,
love,contempt,3,love_contempt,1.0,0.25051653,13.0
love,disgust,3,love_disgust,2.0,0.22406636,13.0
love,embarrassment,3,love_embarrassment,3.0,0.41991812,13.0
satisfaction,satisfaction,3,satisfaction_satisfaction,,,
satisfaction,love,3,satisfaction_love,0.0,0.6740083,14.0
satisfaction,contempt,3,satisfaction_contempt,1.0,0.24904363,14.0
satisfaction,disgust,3,satisfaction_disgust,2.0,0.22399458,14.0
satisfaction,embarrassment,3,satisfaction_embarrassment,3.0,0.27369672,14.0
